place_id,name,address,lat,lng,types,rating,user_ratings_total,phone,website
ChIJCf5VG5WJzYUR0TgtzGkjc6M,Soriana Mercado Toluca Centro,"Av. Benito Juárez Garcia Sur 231, Centro, 50090 Toluca de Lerdo, Méx.",19.286542900000004,-99.65379329999999,"supermarket,pharmacy,grocery_store,food_store,health,atm,finance,store,food,point_of_interest,establishment",3.9,7113,55 7921 0680,https://www.soriana.com/
ChIJ48ubVZWJzYURAsNEP_zP2zQ,Super Kompras ® | Centro,"C. Mariano Matamoros 104, Centro, 50000 Toluca de Lerdo, Méx.",19.289464199999998,-99.6567997,"supermarket,grocery_store,food_store,store,food,point_of_interest,establishment",4.2,1059,722 214 2911,http://www.superkompras.com.mx/
ChIJNYvjXMCJzYURsF1tpahQcl4,Waldo's,"Av. Miguel Hidalgo 200-Poniente, Centro, 50000 Toluca de Lerdo, Méx.",19.289927499999997,-99.65853639999999,"supermarket,grocery_store,food_store,store,food,point_of_interest,establishment",4.2,1007,722 213 8256,https://www.waldos.com/
ChIJq398C-uJzYURK-7vrSc_b-A,Garis Independencia,"Av. Independencia 304, Barrio de Sta Clara, 50000 Toluca de Lerdo, Méx.",19.2919998,-99.65235,"supermarket,candy_store,confectionery,grocery_store,food_store,atm,finance,store,food,point_of_interest,establishment",4,4886,722 276 1178,http://www.garis.com.mx/
ChIJh7X3spqJzYURKQr0PwuDbYw,Super Kompras Tollocan,"Av. Paseo Tollocan Ote. 312, Valle Verde y Terminal, 50140 Toluca de Lerdo, Méx.",19.276516,-99.6454399,"supermarket,grocery_store,food_store,atm,finance,store,food,point_of_interest,establishment",4,837,722 212 8411,http://www.superkompras.com.mx/
ChIJC700CP-JzYURhOkYGyfzj7w,Chedraui Alfredo del Mazo,"Via Alfredo del Mazo 705, Barrio de Tlacopa, 50100 Toluca de Lerdo, Méx.",19.3103884,-99.63574539999999,"supermarket,liquor_store,grocery_store,food_store,atm,finance,store,food,point_of_interest,establishment",3.9,6699,55 5563 2222,http://www.chedraui.com.mx/
ChIJK74gTiCKzYUR5KOz3rammrU,Soriana Híper Patio Toluca,"Av. Miguel Hidalgo 1337, Reforma y FFCC Nacionales, 50010 Toluca de Lerdo, Méx.",19.2871107,-99.6329807,"supermarket,pharmacy,grocery_store,food_store,health,atm,finance,store,food,point_of_interest,establishment",4.2,4351,444 819 5685,https://www.soriana.com/
ChIJ0YLHT5iJzYUR5hjsa-1BUPo,Bodega Aurrera Express Toluca Universidad,"Av. Benito Juárez Garcia Sur 1110, Universidad, 50121 Toluca de Lerdo, Méx.",19.274791099999998,-99.6541895,"supermarket,grocery_store,food_store,store,food,point_of_interest,establishment",3.9,739,722 212 3871,https://www.bodegaaurrera.com.mx/
ChIJ5XTPPOuJzYURVEDwpZ4Pf6w,Súper Naturista,"Ignacio López Rayon 100-Local 5 y 6, 5 de Mayo, 50010 Toluca de Lerdo, Méx.",19.2900062,-99.65303499999999,"supermarket,asian_grocery_store,grocery_store,food_store,health,store,food,point_of_interest,establishment",4.2,207,722 167 0306,http://www.supernaturista.com/
ChIJq3dXtTmJzYURCxHvMGnNWrw,Super Kompras ® | Pino Suárez,"Pino Suárez Sur #1909 Colonia Magdalena Metepec, Manzana 020, La Magdalena, 50190 Toluca de Lerdo, Méx.",19.2682335,-99.63854459999999,"supermarket,convenience_store,grocery_store,food_store,store,food,point_of_interest,establishment",4.3,119,722 239 4773,https://www.superkompras.com.mx/
ChIJB034a6mJzYUReEL3y36VWoo,Super Kompras| Seminario,"C. Laguna del Volcán 702, El Seminario Primera Secc, 50170 Toluca de Lerdo, Méx.",19.2672301,-99.6728467,"supermarket,grocery_store,food_store,store,food,point_of_interest,establishment",4,387,722 280 3288,http://www.superkompras.com.mx/
ChIJU0C0X_KJzYUR_zLe8tcqlqQ,Garis Lerdo,"Av. Independencia 913, Barrio de Sta Clara, 50070 Toluca de Lerdo, Méx.",19.2929019,-99.6436767,"supermarket,liquor_store,grocery_store,food_store,store,food,point_of_interest,establishment",4.2,4212,722 213 6957,http://www.garis.com.mx/
ChIJNTgon6iJzYURIategXXjj4M,Tiendas 3B,"Av. Miguel Hidalgo 412, Barrio de la Merced, 50080 Toluca de Lerdo, Méx.",19.290302,-99.6595156,"supermarket,grocery_store,food_store,store,food,point_of_interest,establishment",4.4,50,,
ChIJi9pVG8CJzYURcl0x75XDvGQ,Plaza Acrópolis ®| Toluca,"C. Mariano Matamoros SUR 104, Centro, 50000 Toluca de Lerdo, Méx.",19.289172399999998,-99.656567,"shopping_mall,gift_shop,supermarket,department_store,clothing_store,furniture_store,home_improvement_store,home_goods_store,grocery_store,food_store,store,food,point_of_interest,establishment",4.1,3432,722 457 3689,https://acropolis.com.mx/
ChIJo1n-S4yJzYURo_-EuBiKeDE,Waldo's,"Blvd. Isidro Fabela No. 600, San Sebastián, 50150 Toluca de Lerdo, Méx.",19.2851399,-99.6420409,"supermarket,grocery_store,food_store,store,food,point_of_interest,establishment",4,653,722 226 1459,http://www.waldos.com/
ChIJG69jbY-JzYURyNaBEJN4AyI,Súper Naturista,"Central Camionera, Blvd. Isidro Fabela 808, Altamirano, 50130 Toluca de Lerdo, Méx.",19.2799846,-99.64181289999999,"supermarket,asian_grocery_store,grocery_store,food_store,health,store,food,point_of_interest,establishment",4.1,44,722 212 2276,http://www.supernaturista.com/
ChIJF7Jg5eqJzYURuCRJ74jEZwM,Farmacias Benavides,"Av. Primero de Mayo 101-B, Barrio de Sta Clara, 50000 Toluca de Lerdo, Méx.",19.2908389,-99.6542611,"pharmacy,supermarket,government_office,grocery_store,food_store,doctor,health,store,consultant,food,point_of_interest,establishment",3.9,30,81 8126 0000,https://www.benavides.com.mx/
ChIJjZIJwY-JzYURH6DdH8dSyXs,Garis Altamirano,"Calle Gral. Venustiano Carranza 20 Pte. 731 Oriente, Altamirano, 50130 Toluca de Lerdo, Méx.",19.27996,-99.6442368,"supermarket,grocery_store,food_store,store,food,point_of_interest,establishment",4.2,1627,722 276 1100,
ChIJg32e43KJzYUR_fCvxvXXHbc,D'LA COLONIA,"Calle Francisco Murguía 16 Ote. 301-A, Cuauhtémoc, 50130 Toluca de Lerdo, Méx.",19.2810921,-99.65171409999999,"supermarket,grocery_store,food_store,store,food,point_of_interest,establishment",5,1,722 705 3087,
ChIJGbexepWJzYURbQiSOWFVP8g,Súper Ofertas,"Ignacio Allende 224-B, Centro, 50000 Toluca de Lerdo, Méx.",19.2865498,-99.65549399999999,"supermarket,grocery_store,food_store,store,food,point_of_interest,establishment",3.3,4,722 505 4008,
